59.6772	65.8989	63.8941	68.3579	36.027#86.0999984741	89.5	84.1999969482	100.0	26.0
56.9722	64.9292	62.8599	74.2446	30.4802#86.0999984741	89.5	84.1999969482	100.0	26.0
71.4048	80.6977	74.5456	99.7159	20.5425#86.0999984741	89.5	84.1999969482	100.0	26.0
81.3561	91.1987	84.338	106.898	37.2987#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
80.9081	87.3968	80.5357	90.2614	50.245#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
78.1443	84.982	76.7029	99.504	38.0918#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
81.219	92.3419	90.2936	95.6626	53.7213#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
68.9288	79.5746	77.161	93.1494	36.6989#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
71.7644	78.9589	71.4064	96.4684	31.5383#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
85.3143	92.0815	82.1004	102.132	49.3155#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
88.7199	94.4587	86.7241	113.805	45.6278#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
95.1021	100.961	93.2636	120.186	50.8449#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
64.1172	73.2475	68.9727	76.6847	38.9515#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
72.089	79.2319	72.9869	77.5705	47.1935#85.4000015259	88.5999984741	83.9000015259	100.0	26.7000007629
69.5842	77.9114	79.0408	78.9626	55.1472#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
68.5308	76.0803	71.1486	59.8196	56.6947#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
59.2924	72.0202	71.2278	58.1133	50.9735#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
76.4666	86.2609	84.7195	78.2913	66.9894#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
85.36	94.148	90.292	88.1415	66.8476#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
90.4347	96.8146	92.0103	92.2071	70.59#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
88.7752	96.2381	90.7706	84.76	69.6928#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
75.3886	85.1587	83.6605	77.5893	56.5707#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
68.8846	77.9091	75.4017	70.2001	53.0309#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
70.6491	79.9256	76.5705	69.7291	55.9655#63.2999992371	71.8000030518	68.8000030518	52.7000007629	94.4000015259
66.3071	75.5871	74.1194	66.2112	50.6817#59.0	70.8000030518	69.3000030518	60.7999992371	99.0
82.2585	93.4276	88.6248	68.676	66.923#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
63.1674	74.2701	69.7492	53.2335	47.233#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
62.0591	73.2743	72.2947	63.6652	50.1016#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
71.0883	85.8023	84.9135	83.956	47.248#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
66.5793	81.6355	80.8768	75.1813	48.4232#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
68.4023	79.2512	77.3568	84.3098	43.2418#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
60.2307	71.5134	69.5694	65.3943	46.795#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
74.7876	85.7763	80.2719	71.874	61.4538#59.2000007629	71.0999984741	69.4000015259	64.8000030518	98.5
74.1368	85.7219	85.2791	83.5785	60.2615#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
72.4486	79.0615	70.5606	74.5297	74.3653#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
76.8801	84.601	72.2928	52.4385	86.7587#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
65.1951	75.5148	66.9313	58.9613	74.9188#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
43.0671	54.8385	52.9046	46.8415	68.8885#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
62.642	64.2797	55.5292	59.7986	91.3699#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
79.5355	78.7067	71.8378	88.3879	66.6558#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
44.4876	58.28	56.4974	53.3942	51.7641#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
53.3939	63.462	57.1209	49.3975	71.518#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
77.969	83.7662	78.8832	77.7763	84.3291#64.1999969482	70.5	71.8000030518	63.0	43.7999992371
62.5329	77.2479	69.6645	66.1639	64.1144#67.5999984741	74.4000015259	79.5	100.0	28.5
