2016-10-14-16-52-56551	3.8	0.6	167.3	24.7	10.7	178.7	24.5	42.4	43.4	43.0	37.9	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-56603	3.8	0.6	167.3	24.7	10.7	178.7	24.5	42.4	43.4	43.0	37.9	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-56653	3.8	0.6	167.3	24.7	10.7	178.7	24.5	42.4	43.4	43.0	37.9	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-56704	3.8	0.6	167.3	24.7	10.7	178.7	24.5	42.4	43.4	43.0	37.9	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-56755	3.8	0.6	167.3	24.7	10.7	178.7	24.5	42.4	43.4	43.0	37.9	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-56806	3.8	0.6	167.3	24.7	10.7	178.7	24.5	42.4	43.4	43.0	37.9	100.0	99.9	99.8	99.9	99.9
2016-10-14-16-52-56858	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-56909	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-56960	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-57012	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-57063	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-57114	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-57164	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-57216	3.6	0.4	166.9	25.1	10.3	178.6	25.3	41.8	44.4	41.7	38.0	99.8	99.9	99.9	99.9	99.8
2016-10-14-16-52-57268	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57320	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57372	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57423	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57476	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57527	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57579	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57631	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57682	4.5	0.8	166.4	25.5	10.4	178.5	24.8	42.7	43.3	42.4	37.2	100.0	99.9	99.8	99.8	99.9
2016-10-14-16-52-57734	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-57785	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-57836	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-57888	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-57939	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-57991	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-58042	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-58093	4.1	0.8	165.9	25.6	10.4	178.4	24.5	42.7	43.5	42.6	37.2	100.0	99.8	99.9	99.9	99.9
2016-10-14-16-52-58145	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58196	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58247	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58298	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58350	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58402	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58454	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58506	4.2	0.7	165.4	25.5	10.6	178.2	24.7	42.3	43.3	42.2	37.2	99.9	99.9	99.9	99.9	99.9
2016-10-14-16-52-58558	4.3	0.9	165.4	25.8	10.5	178.2	25.0	42.2	44.0	42.1	37.5	100.0	99.9	99.8	99.9	99.9
